,TEAM_NAME,OPPONENT,LOCATION,WL,MATCHUP
113,Atlanta Hawks,WAS,AWAY,W,5
114,Atlanta Hawks,WAS,HOME,L,5
115,Atlanta Hawks,WAS,HOME,W,9
116,Boston Celtics,ATL,AWAY,L,6
117,Boston Celtics,ATL,AWAY,W,7
118,Boston Celtics,ATL,HOME,L,5
119,Boston Celtics,ATL,HOME,W,7
120,Boston Celtics,BKN,AWAY,L,5
121,Boston Celtics,BKN,AWAY,W,8
122,Boston Celtics,BKN,HOME,L,5
123,Boston Celtics,BKN,HOME,W,9
124,Boston Celtics,CHA,AWAY,L,4
125,Boston Celtics,CHA,AWAY,W,7
126,Boston Celtics,CHA,HOME,L,3
127,Boston Celtics,CHA,HOME,W,10
128,Boston Celtics,CHI,AWAY,L,8
129,Boston Celtics,CHI,AWAY,W,4
130,Boston Celtics,CHI,HOME,L,4
131,Boston Celtics,CHI,HOME,W,8
132,Boston Celtics,CLE,AWAY,L,6
133,Boston Celtics,CLE,AWAY,W,5
134,Boston Celtics,CLE,HOME,L,5
135,Boston Celtics,CLE,HOME,W,8
136,Boston Celtics,DAL,AWAY,L,5
137,Boston Celtics,DAL,AWAY,W,2
138,Boston Celtics,DAL,HOME,L,3
139,Boston Celtics,DAL,HOME,W,4
140,Boston Celtics,DEN,AWAY,L,4
141,Boston Celtics,DEN,AWAY,W,3
142,Boston Celtics,DEN,HOME,L,1
143,Boston Celtics,DEN,HOME,W,5
144,Boston Celtics,DET,AWAY,L,6
145,Boston Celtics,DET,AWAY,W,7
146,Boston Celtics,DET,HOME,L,5
147,Boston Celtics,DET,HOME,W,7
148,Boston Celtics,GSW,AWAY,L,4
149,Boston Celtics,GSW,AWAY,W,2
150,Boston Celtics,GSW,HOME,L,5
151,Boston Celtics,GSW,HOME,W,2
152,Boston Celtics,HOU,AWAY,L,6
153,Boston Celtics,HOU,AWAY,W,1
154,Boston Celtics,HOU,HOME,L,3
155,Boston Celtics,HOU,HOME,W,3
156,Boston Celtics,IND,AWAY,L,6
157,Boston Celtics,IND,AWAY,W,6
158,Boston Celtics,IND,HOME,L,5
159,Boston Celtics,IND,HOME,W,6
160,Boston Celtics,LAC,AWAY,L,5
161,Boston Celtics,LAC,AWAY,W,1
162,Boston Celtics,LAC,HOME,L,4
163,Boston Celtics,LAC,HOME,W,3
164,Boston Celtics,LAL,AWAY,L,4
165,Boston Celtics,LAL,AWAY,W,2
166,Boston Celtics,LAL,HOME,L,3
167,Boston Celtics,LAL,HOME,W,4
168,Boston Celtics,MEM,AWAY,L,4
169,Boston Celtics,MEM,AWAY,W,3
170,Boston Celtics,MEM,HOME,L,2
171,Boston Celtics,MEM,HOME,W,5
172,Boston Celtics,MIA,AWAY,L,6
173,Boston Celtics,MIA,AWAY,W,6
174,Boston Celtics,MIA,HOME,L,4
175,Boston Celtics,MIA,HOME,W,7
176,Boston Celtics,MIL,AWAY,L,5
177,Boston Celtics,MIL,AWAY,W,6
178,Boston Celtics,MIL,HOME,L,7
179,Boston Celtics,MIL,HOME,W,6
180,Boston Celtics,MIN,AWAY,L,4
181,Boston Celtics,MIN,AWAY,W,3
182,Boston Celtics,MIN,HOME,W,7
183,Boston Celtics,NOH,AWAY,L,1
184,Boston Celtics,NOH,HOME,L,1
185,Boston Celtics,NOP,AWAY,L,3
186,Boston Celtics,NOP,AWAY,W,3
187,Boston Celtics,NOP,HOME,L,2
188,Boston Celtics,NOP,HOME,W,4
189,Boston Celtics,NYK,AWAY,L,4
190,Boston Celtics,NYK,AWAY,W,10
191,Boston Celtics,NYK,HOME,L,6
192,Boston Celtics,NYK,HOME,W,8
193,Boston Celtics,OKC,AWAY,L,4
194,Boston Celtics,OKC,AWAY,W,3
195,Boston Celtics,OKC,HOME,L,4
196,Boston Celtics,OKC,HOME,W,3
197,Boston Celtics,ORL,AWAY,L,6
198,Boston Celtics,ORL,AWAY,W,6
199,Boston Celtics,ORL,HOME,L,2
200,Boston Celtics,ORL,HOME,W,10
201,Boston Celtics,PHI,AWAY,L,3
202,Boston Celtics,PHI,AWAY,W,10
203,Boston Celtics,PHI,HOME,L,4
204,Boston Celtics,PHI,HOME,W,10
205,Boston Celtics,PHX,AWAY,L,2
206,Boston Celtics,PHX,AWAY,W,5
207,Boston Celtics,PHX,HOME,L,3
208,Boston Celtics,PHX,HOME,W,4
209,Boston Celtics,POR,AWAY,L,4
210,Boston Celtics,POR,AWAY,W,3
211,Boston Celtics,POR,HOME,L,3
212,Boston Celtics,POR,HOME,W,3
213,Boston Celtics,SAC,AWAY,L,4
214,Boston Celtics,SAC,AWAY,W,2
215,Boston Celtics,SAC,HOME,W,6
216,Boston Celtics,SAS,AWAY,L,7
217,Boston Celtics,SAS,HOME,L,5
218,Boston Celtics,SAS,HOME,W,1
219,Boston Celtics,TOR,AWAY,L,11
220,Boston Celtics,TOR,AWAY,W,2
221,Boston Celtics,TOR,HOME,L,4
222,Boston Celtics,TOR,HOME,W,10
223,Boston Celtics,UTA,AWAY,L,3
224,Boston Celtics,UTA,AWAY,W,4
225,Boston Celtics,UTA,HOME,L,2
226,Boston Celtics,UTA,HOME,W,5
227,Boston Celtics,WAS,AWAY,L,6
228,Boston Celtics,WAS,AWAY,W,6
229,Boston Celtics,WAS,HOME,L,4
230,Boston Celtics,WAS,HOME,W,7
231,Brooklyn Nets,ATL,AWAY,L,6
232,Brooklyn Nets,ATL,AWAY,W,5
233,Brooklyn Nets,ATL,HOME,L,6
234,Brooklyn Nets,ATL,HOME,W,7
235,Brooklyn Nets,BOS,AWAY,L,9
236,Brooklyn Nets,BOS,AWAY,W,5
237,Brooklyn Nets,BOS,HOME,L,8
238,Brooklyn Nets,BOS,HOME,W,5
239,Brooklyn Nets,CHA,AWAY,L,8
240,Brooklyn Nets,CHA,AWAY,W,4
241,Brooklyn Nets,CHA,HOME,L,5
242,Brooklyn Nets,CHA,HOME,W,6
243,Brooklyn Nets,CHI,AWAY,L,7
244,Brooklyn Nets,CHI,AWAY,W,5
245,Brooklyn Nets,CHI,HOME,L,7
246,Brooklyn Nets,CHI,HOME,W,6
247,Brooklyn Nets,CLE,AWAY,L,10
248,Brooklyn Nets,CLE,AWAY,W,3
249,Brooklyn Nets,CLE,HOME,L,5
250,Brooklyn Nets,CLE,HOME,W,7
251,Brooklyn Nets,DAL,AWAY,L,3
252,Brooklyn Nets,DAL,AWAY,W,4
253,Brooklyn Nets,DAL,HOME,L,4
254,Brooklyn Nets,DAL,HOME,W,2
255,Brooklyn Nets,DEN,AWAY,L,3
256,Brooklyn Nets,DEN,AWAY,W,4
257,Brooklyn Nets,DEN,HOME,L,2
258,Brooklyn Nets,DEN,HOME,W,5
259,Brooklyn Nets,DET,AWAY,L,8
260,Brooklyn Nets,DET,AWAY,W,4
261,Brooklyn Nets,DET,HOME,L,4
262,Brooklyn Nets,DET,HOME,W,8
263,Brooklyn Nets,GSW,AWAY,L,7
264,Brooklyn Nets,GSW,HOME,L,5
265,Brooklyn Nets,GSW,HOME,W,2
266,Brooklyn Nets,HOU,AWAY,L,5
267,Brooklyn Nets,HOU,AWAY,W,2
268,Brooklyn Nets,HOU,HOME,L,5
269,Brooklyn Nets,HOU,HOME,W,2
270,Brooklyn Nets,IND,AWAY,L,9
271,Brooklyn Nets,IND,AWAY,W,3
272,Brooklyn Nets,IND,HOME,L,8
273,Brooklyn Nets,IND,HOME,W,4
274,Brooklyn Nets,LAC,AWAY,L,6
275,Brooklyn Nets,LAC,HOME,L,3
276,Brooklyn Nets,LAC,HOME,W,4
277,Brooklyn Nets,LAL,AWAY,L,4
278,Brooklyn Nets,LAL,AWAY,W,2
279,Brooklyn Nets,LAL,HOME,L,4
280,Brooklyn Nets,LAL,HOME,W,3
281,Brooklyn Nets,MEM,AWAY,L,3
282,Brooklyn Nets,MEM,AWAY,W,4
283,Brooklyn Nets,MEM,HOME,L,5
284,Brooklyn Nets,MEM,HOME,W,2
285,Brooklyn Nets,MIA,AWAY,L,6
286,Brooklyn Nets,MIA,AWAY,W,6
287,Brooklyn Nets,MIA,HOME,L,9
288,Brooklyn Nets,MIA,HOME,W,3
289,Brooklyn Nets,MIL,AWAY,L,8
290,Brooklyn Nets,MIL,AWAY,W,4
291,Brooklyn Nets,MIL,HOME,L,8
292,Brooklyn Nets,MIL,HOME,W,3
293,Brooklyn Nets,MIN,AWAY,L,5
294,Brooklyn Nets,MIN,AWAY,W,2
295,Brooklyn Nets,MIN,HOME,L,4
296,Brooklyn Nets,MIN,HOME,W,3
297,Brooklyn Nets,NOH,AWAY,W,1
298,Brooklyn Nets,NOH,HOME,W,1
299,Brooklyn Nets,NOP,AWAY,L,5
300,Brooklyn Nets,NOP,AWAY,W,1
301,Brooklyn Nets,NOP,HOME,L,4
302,Brooklyn Nets,NOP,HOME,W,2
303,Brooklyn Nets,NYK,AWAY,L,8
304,Brooklyn Nets,NYK,AWAY,W,6
305,Brooklyn Nets,NYK,HOME,L,6
306,Brooklyn Nets,NYK,HOME,W,8
307,Brooklyn Nets,OKC,AWAY,L,3
308,Brooklyn Nets,OKC,AWAY,W,3
309,Brooklyn Nets,OKC,HOME,L,4
310,Brooklyn Nets,OKC,HOME,W,3
311,Brooklyn Nets,ORL,AWAY,L,8
312,Brooklyn Nets,ORL,AWAY,W,5
313,Brooklyn Nets,ORL,HOME,L,2
314,Brooklyn Nets,ORL,HOME,W,10
315,Brooklyn Nets,PHI,AWAY,L,7
316,Brooklyn Nets,PHI,AWAY,W,6
317,Brooklyn Nets,PHI,HOME,L,5
318,Brooklyn Nets,PHI,HOME,W,9
319,Brooklyn Nets,PHX,AWAY,L,1
320,Brooklyn Nets,PHX,AWAY,W,6
321,Brooklyn Nets,PHX,HOME,L,2
322,Brooklyn Nets,PHX,HOME,W,5
323,Brooklyn Nets,POR,AWAY,L,4
324,Brooklyn Nets,POR,AWAY,W,2
325,Brooklyn Nets,POR,HOME,L,4
326,Brooklyn Nets,POR,HOME,W,2
327,Brooklyn Nets,SAC,AWAY,L,3
328,Brooklyn Nets,SAC,AWAY,W,3
329,Brooklyn Nets,SAC,HOME,L,2
330,Brooklyn Nets,SAC,HOME,W,5
331,Brooklyn Nets,SAS,AWAY,L,7
332,Brooklyn Nets,SAS,HOME,L,4
333,Brooklyn Nets,SAS,HOME,W,2
334,Brooklyn Nets,TOR,AWAY,L,11
335,Brooklyn Nets,TOR,AWAY,W,3
336,Brooklyn Nets,TOR,HOME,L,8
337,Brooklyn Nets,TOR,HOME,W,5
338,Brooklyn Nets,UTA,AWAY,L,4
339,Brooklyn Nets,UTA,AWAY,W,2
340,Brooklyn Nets,UTA,HOME,L,5
341,Brooklyn Nets,UTA,HOME,W,2
342,Brooklyn Nets,WAS,AWAY,L,9
343,Brooklyn Nets,WAS,AWAY,W,3
344,Brooklyn Nets,WAS,HOME,L,6
345,Brooklyn Nets,WAS,HOME,W,6
346,Charlotte Hornets,ATL,AWAY,L,6
347,Charlotte Hornets,ATL,AWAY,W,4
348,Charlotte Hornets,ATL,HOME,L,1
349,Charlotte Hornets,ATL,HOME,W,9
350,Charlotte Hornets,BKN,AWAY,L,2
351,Charlotte Hornets,BKN,AWAY,W,5
352,Charlotte Hornets,BKN,HOME,L,3
353,Charlotte Hornets,BKN,HOME,W,6
354,Charlotte Hornets,BOS,AWAY,L,7
355,Charlotte Hornets,BOS,AWAY,W,2
356,Charlotte Hornets,BOS,HOME,L,6
357,Charlotte Hornets,BOS,HOME,W,2
358,Charlotte Hornets,CHI,AWAY,L,6
359,Charlotte Hornets,CHI,AWAY,W,2
360,Charlotte Hornets,CHI,HOME,L,3
361,Charlotte Hornets,CHI,HOME,W,7
