,team,opponent,away_wins,away_losses
43,Boston Celtics,Miami Heat,6,6
44,Boston Celtics,Milwaukee Bucks,6,5
45,Boston Celtics,Minnesota Timberwolves,3,4
46,Boston Celtics,New Orleans Pelicans,3,3
47,Boston Celtics,New York Knicks,10,4
48,Boston Celtics,Oklahoma City Thunder,3,4
49,Boston Celtics,Orlando Magic,6,6
50,Boston Celtics,Philadelphia 76ers,10,3
51,Boston Celtics,Phoenix Suns,5,2
52,Boston Celtics,Portland Trail Blazers,3,4
53,Boston Celtics,Sacramento Kings,2,4
54,Boston Celtics,San Antonio Spurs,0,7
55,Boston Celtics,Toronto Raptors,2,11
56,Boston Celtics,Utah Jazz,4,3
57,Boston Celtics,Washington Wizards,6,6
58,Brooklyn Nets,Atlanta Hawks,5,6
59,Brooklyn Nets,Boston Celtics,5,9
60,Brooklyn Nets,Charlotte Hornets,4,8
61,Brooklyn Nets,Chicago Bulls,5,7
62,Brooklyn Nets,Cleveland Cavaliers,3,10
63,Brooklyn Nets,Dallas Mavericks,4,3
64,Brooklyn Nets,Denver Nuggets,4,3
65,Brooklyn Nets,Detroit Pistons,4,8
66,Brooklyn Nets,Golden State Warriors,0,7
67,Brooklyn Nets,Houston Rockets,2,5
68,Brooklyn Nets,Indiana Pacers,3,9
69,Brooklyn Nets,Los Angeles Clippers,0,6
70,Brooklyn Nets,Los Angeles Lakers,2,4
71,Brooklyn Nets,Memphis Grizzlies,4,3
72,Brooklyn Nets,Miami Heat,6,6
73,Brooklyn Nets,Milwaukee Bucks,4,8
74,Brooklyn Nets,Minnesota Timberwolves,2,5
75,Brooklyn Nets,New Orleans Pelicans,1,5
76,Brooklyn Nets,New York Knicks,6,8
77,Brooklyn Nets,Oklahoma City Thunder,3,3
78,Brooklyn Nets,Orlando Magic,5,8
79,Brooklyn Nets,Philadelphia 76ers,6,7
80,Brooklyn Nets,Phoenix Suns,6,1
81,Brooklyn Nets,Portland Trail Blazers,2,4
82,Brooklyn Nets,Sacramento Kings,3,3
83,Brooklyn Nets,San Antonio Spurs,0,7
84,Brooklyn Nets,Toronto Raptors,3,11
85,Brooklyn Nets,Utah Jazz,2,4
86,Brooklyn Nets,Washington Wizards,3,9
87,Chicago Bulls,Atlanta Hawks,6,6
88,Chicago Bulls,Brooklyn Nets,7,6
89,Chicago Bulls,Boston Celtics,4,8
90,Chicago Bulls,Charlotte Hornets,5,8
91,Chicago Bulls,Cleveland Cavaliers,8,6
92,Chicago Bulls,Dallas Mavericks,3,4
93,Chicago Bulls,Denver Nuggets,0,7
94,Chicago Bulls,Detroit Pistons,4,9
95,Chicago Bulls,Golden State Warriors,2,5
96,Chicago Bulls,Houston Rockets,1,6
97,Chicago Bulls,Indiana Pacers,2,11
98,Chicago Bulls,Los Angeles Clippers,1,5
99,Chicago Bulls,Los Angeles Lakers,3,4
100,Chicago Bulls,Memphis Grizzlies,4,2
101,Chicago Bulls,Miami Heat,5,7
102,Chicago Bulls,Milwaukee Bucks,9,5
