,team,opponent,away_wins,away_losses
543,New York Knicks,Philadelphia 76ers,6,8
544,New York Knicks,Phoenix Suns,3,3
545,New York Knicks,Portland Trail Blazers,1,6
546,New York Knicks,Sacramento Kings,2,4
547,New York Knicks,San Antonio Spurs,2,4
548,New York Knicks,Toronto Raptors,3,10
549,New York Knicks,Utah Jazz,3,4
550,New York Knicks,Washington Wizards,3,10
551,Oklahoma City Thunder,Atlanta Hawks,4,3
552,Oklahoma City Thunder,Brooklyn Nets,4,3
553,Oklahoma City Thunder,Boston Celtics,4,3
554,Oklahoma City Thunder,Charlotte Hornets,6,1
555,Oklahoma City Thunder,Chicago Bulls,4,3
556,Oklahoma City Thunder,Cleveland Cavaliers,3,4
557,Oklahoma City Thunder,Dallas Mavericks,6,7
558,Oklahoma City Thunder,Denver Nuggets,6,7
559,Oklahoma City Thunder,Detroit Pistons,5,2
560,Oklahoma City Thunder,Golden State Warriors,3,10
561,Oklahoma City Thunder,Houston Rockets,4,8
562,Oklahoma City Thunder,Indiana Pacers,3,3
563,Oklahoma City Thunder,Los Angeles Clippers,6,5
564,Oklahoma City Thunder,Los Angeles Lakers,8,4
565,Oklahoma City Thunder,Memphis Grizzlies,5,6
566,Oklahoma City Thunder,Miami Heat,5,2
567,Oklahoma City Thunder,Milwaukee Bucks,4,2
568,Oklahoma City Thunder,Minnesota Timberwolves,6,6
569,Oklahoma City Thunder,New Orleans Pelicans,5,6
570,Oklahoma City Thunder,New York Knicks,5,2
571,Oklahoma City Thunder,Orlando Magic,5,2
572,Oklahoma City Thunder,Philadelphia 76ers,7,0
573,Oklahoma City Thunder,Phoenix Suns,7,6
574,Oklahoma City Thunder,Portland Trail Blazers,4,9
575,Oklahoma City Thunder,Sacramento Kings,8,5
576,Oklahoma City Thunder,San Antonio Spurs,3,9
577,Oklahoma City Thunder,Toronto Raptors,5,1
578,Oklahoma City Thunder,Utah Jazz,7,6
579,Oklahoma City Thunder,Washington Wizards,3,4
580,Orlando Magic,Atlanta Hawks,5,9
581,Orlando Magic,Brooklyn Nets,2,10
582,Orlando Magic,Boston Celtics,2,10
583,Orlando Magic,Charlotte Hornets,4,9
584,Orlando Magic,Chicago Bulls,3,10
585,Orlando Magic,Cleveland Cavaliers,1,10
586,Orlando Magic,Dallas Mavericks,0,7
587,Orlando Magic,Denver Nuggets,1,6
588,Orlando Magic,Detroit Pistons,3,8
589,Orlando Magic,Golden State Warriors,1,6
590,Orlando Magic,Houston Rockets,0,7
591,Orlando Magic,Indiana Pacers,1,10
592,Orlando Magic,Los Angeles Clippers,1,6
593,Orlando Magic,Los Angeles Lakers,2,5
594,Orlando Magic,Memphis Grizzlies,1,5
595,Orlando Magic,Miami Heat,5,8
596,Orlando Magic,Milwaukee Bucks,2,11
597,Orlando Magic,Minnesota Timberwolves,2,5
598,Orlando Magic,New Orleans Pelicans,3,3
599,Orlando Magic,New York Knicks,6,6
600,Orlando Magic,Oklahoma City Thunder,1,6
601,Orlando Magic,Philadelphia 76ers,7,5
602,Orlando Magic,Phoenix Suns,5,2
603,Orlando Magic,Portland Trail Blazers,1,6
604,Orlando Magic,Sacramento Kings,2,5
605,Orlando Magic,San Antonio Spurs,2,5
606,Orlando Magic,Toronto Raptors,1,9
607,Orlando Magic,Utah Jazz,2,5
608,Orlando Magic,Washington Wizards,1,12
609,Philadelphia 76ers,Atlanta Hawks,3,8
610,Philadelphia 76ers,Brooklyn Nets,5,9
611,Philadelphia 76ers,Boston Celtics,4,10
612,Philadelphia 76ers,Charlotte Hornets,5,7
613,Philadelphia 76ers,Chicago Bulls,2,9
614,Philadelphia 76ers,Cleveland Cavaliers,3,9
615,Philadelphia 76ers,Dallas Mavericks,1,5
616,Philadelphia 76ers,Denver Nuggets,4,3
617,Philadelphia 76ers,Detroit Pistons,5,8
618,Philadelphia 76ers,Golden State Warriors,1,6
619,Philadelphia 76ers,Houston Rockets,1,5
620,Philadelphia 76ers,Indiana Pacers,3,9
621,Philadelphia 76ers,Los Angeles Clippers,2,5
622,Philadelphia 76ers,Los Angeles Lakers,5,2
623,Philadelphia 76ers,Memphis Grizzlies,1,6
624,Philadelphia 76ers,Miami Heat,3,9
625,Philadelphia 76ers,Milwaukee Bucks,2,10
626,Philadelphia 76ers,Minnesota Timberwolves,2,4
627,Philadelphia 76ers,New Orleans Pelicans,1,4
628,Philadelphia 76ers,New York Knicks,5,9
629,Philadelphia 76ers,Oklahoma City Thunder,0,6
630,Philadelphia 76ers,Orlando Magic,4,7
631,Philadelphia 76ers,Phoenix Suns,3,4
632,Philadelphia 76ers,Portland Trail Blazers,1,6
633,Philadelphia 76ers,Sacramento Kings,3,4
634,Philadelphia 76ers,San Antonio Spurs,1,6
635,Philadelphia 76ers,Toronto Raptors,1,13
636,Philadelphia 76ers,Utah Jazz,2,5
637,Philadelphia 76ers,Washington Wizards,2,10
638,Phoenix Suns,Atlanta Hawks,1,5
639,Phoenix Suns,Brooklyn Nets,2,5
640,Phoenix Suns,Boston Celtics,3,4
641,Phoenix Suns,Charlotte Hornets,3,4
642,Phoenix Suns,Chicago Bulls,3,4
643,Phoenix Suns,Cleveland Cavaliers,2,4
644,Phoenix Suns,Dallas Mavericks,6,6
645,Phoenix Suns,Denver Nuggets,5,8
646,Phoenix Suns,Detroit Pistons,1,6
647,Phoenix Suns,Golden State Warriors,0,13
648,Phoenix Suns,Houston Rockets,3,8
649,Phoenix Suns,Indiana Pacers,3,4
650,Phoenix Suns,Los Angeles Clippers,1,13
651,Phoenix Suns,Los Angeles Lakers,6,8
652,Phoenix Suns,Memphis Grizzlies,3,9
653,Phoenix Suns,Miami Heat,0,6
654,Phoenix Suns,Milwaukee Bucks,3,4
655,Phoenix Suns,Minnesota Timberwolves,4,8
656,Phoenix Suns,New Orleans Pelicans,4,6
657,Phoenix Suns,New York Knicks,3,4
658,Phoenix Suns,Oklahoma City Thunder,0,12
659,Phoenix Suns,Orlando Magic,5,2
660,Phoenix Suns,Philadelphia 76ers,3,4
661,Phoenix Suns,Portland Trail Blazers,3,9
662,Phoenix Suns,Sacramento Kings,5,8
663,Phoenix Suns,San Antonio Spurs,1,12
664,Phoenix Suns,Toronto Raptors,3,4
665,Phoenix Suns,Utah Jazz,1,11
666,Phoenix Suns,Washington Wizards,3,4
667,Portland Trail Blazers,Atlanta Hawks,3,3
668,Portland Trail Blazers,Brooklyn Nets,4,2
669,Portland Trail Blazers,Boston Celtics,3,3
670,Portland Trail Blazers,Charlotte Hornets,3,3
671,Portland Trail Blazers,Chicago Bulls,5,1
672,Portland Trail Blazers,Cleveland Cavaliers,2,4
673,Portland Trail Blazers,Dallas Mavericks,4,9
674,Portland Trail Blazers,Denver Nuggets,6,7
675,Portland Trail Blazers,Detroit Pistons,2,4
676,Portland Trail Blazers,Golden State Warriors,2,10
677,Portland Trail Blazers,Houston Rockets,4,9
678,Portland Trail Blazers,Indiana Pacers,4,3
679,Portland Trail Blazers,Los Angeles Clippers,4,8
680,Portland Trail Blazers,Los Angeles Lakers,9,3
681,Portland Trail Blazers,Memphis Grizzlies,4,8
682,Portland Trail Blazers,Miami Heat,2,5
683,Portland Trail Blazers,Milwaukee Bucks,1,6
684,Portland Trail Blazers,Minnesota Timberwolves,6,7
685,Portland Trail Blazers,New Orleans Pelicans,4,5
686,Portland Trail Blazers,New York Knicks,6,1
687,Portland Trail Blazers,Oklahoma City Thunder,5,9
688,Portland Trail Blazers,Orlando Magic,3,4
689,Portland Trail Blazers,Philadelphia 76ers,2,4
690,Portland Trail Blazers,Phoenix Suns,6,6
691,Portland Trail Blazers,Sacramento Kings,7,6
692,Portland Trail Blazers,San Antonio Spurs,4,7
693,Portland Trail Blazers,Toronto Raptors,2,4
694,Portland Trail Blazers,Utah Jazz,6,8
695,Portland Trail Blazers,Washington Wizards,3,4
696,Sacramento Kings,Atlanta Hawks,1,6
697,Sacramento Kings,Brooklyn Nets,2,5
698,Sacramento Kings,Boston Celtics,0,6
699,Sacramento Kings,Charlotte Hornets,3,4
700,Sacramento Kings,Chicago Bulls,2,5
701,Sacramento Kings,Cleveland Cavaliers,3,4
702,Sacramento Kings,Dallas Mavericks,5,7
703,Sacramento Kings,Denver Nuggets,5,8
704,Sacramento Kings,Detroit Pistons,2,5
705,Sacramento Kings,Golden State Warriors,3,10
706,Sacramento Kings,Houston Rockets,1,10
707,Sacramento Kings,Indiana Pacers,2,5
708,Sacramento Kings,Los Angeles Clippers,3,11
709,Sacramento Kings,Los Angeles Lakers,5,8
710,Sacramento Kings,Memphis Grizzlies,3,10
711,Sacramento Kings,Miami Heat,2,5
712,Sacramento Kings,Milwaukee Bucks,2,5
713,Sacramento Kings,Minnesota Timberwolves,5,7
714,Sacramento Kings,New Orleans Pelicans,5,5
715,Sacramento Kings,New York Knicks,3,3
716,Sacramento Kings,Oklahoma City Thunder,2,10
717,Sacramento Kings,Orlando Magic,5,2
718,Sacramento Kings,Philadelphia 76ers,3,3
719,Sacramento Kings,Phoenix Suns,8,6
720,Sacramento Kings,Portland Trail Blazers,1,10
721,Sacramento Kings,San Antonio Spurs,0,11
722,Sacramento Kings,Toronto Raptors,3,4
723,Sacramento Kings,Utah Jazz,4,7
724,Sacramento Kings,Washington Wizards,1,5
725,San Antonio Spurs,Atlanta Hawks,4,2
726,San Antonio Spurs,Brooklyn Nets,4,2
727,San Antonio Spurs,Boston Celtics,5,1
728,San Antonio Spurs,Charlotte Hornets,5,1
729,San Antonio Spurs,Chicago Bulls,4,3
730,San Antonio Spurs,Cleveland Cavaliers,5,1
731,San Antonio Spurs,Dallas Mavericks,10,3
732,San Antonio Spurs,Denver Nuggets,6,6
733,San Antonio Spurs,Detroit Pistons,4,3
734,San Antonio Spurs,Golden State Warriors,4,8
735,San Antonio Spurs,Houston Rockets,5,8
736,San Antonio Spurs,Indiana Pacers,5,2
737,San Antonio Spurs,Los Angeles Clippers,5,7
738,San Antonio Spurs,Los Angeles Lakers,9,4
739,San Antonio Spurs,Memphis Grizzlies,8,6
740,San Antonio Spurs,Miami Heat,4,3
741,San Antonio Spurs,Milwaukee Bucks,5,2
742,San Antonio Spurs,Minnesota Timberwolves,8,4
743,San Antonio Spurs,New Orleans Pelicans,5,7
744,San Antonio Spurs,New York Knicks,3,3
745,San Antonio Spurs,Oklahoma City Thunder,2,10
746,San Antonio Spurs,Orlando Magic,6,1
747,San Antonio Spurs,Philadelphia 76ers,5,2
748,San Antonio Spurs,Phoenix Suns,9,4
749,San Antonio Spurs,Portland Trail Blazers,5,8
750,San Antonio Spurs,Sacramento Kings,10,3
751,San Antonio Spurs,Toronto Raptors,3,3
752,San Antonio Spurs,Utah Jazz,5,8
753,San Antonio Spurs,Washington Wizards,3,3
754,Toronto Raptors,Atlanta Hawks,8,5
755,Toronto Raptors,Brooklyn Nets,8,5
756,Toronto Raptors,Boston Celtics,4,10
757,Toronto Raptors,Charlotte Hornets,4,7
758,Toronto Raptors,Chicago Bulls,6,6
759,Toronto Raptors,Cleveland Cavaliers,5,7
760,Toronto Raptors,Dallas Mavericks,4,3
761,Toronto Raptors,Denver Nuggets,3,4
762,Toronto Raptors,Detroit Pistons,8,3
763,Toronto Raptors,Golden State Warriors,1,6
764,Toronto Raptors,Houston Rockets,2,5
765,Toronto Raptors,Indiana Pacers,6,6
766,Toronto Raptors,Los Angeles Clippers,3,4
767,Toronto Raptors,Los Angeles Lakers,5,2
768,Toronto Raptors,Memphis Grizzlies,4,3
769,Toronto Raptors,Miami Heat,4,7
770,Toronto Raptors,Milwaukee Bucks,8,4
771,Toronto Raptors,Minnesota Timberwolves,3,3
772,Toronto Raptors,New Orleans Pelicans,4,1
773,Toronto Raptors,New York Knicks,9,4
774,Toronto Raptors,Oklahoma City Thunder,3,3
775,Toronto Raptors,Orlando Magic,10,3
776,Toronto Raptors,Philadelphia 76ers,9,5
777,Toronto Raptors,Phoenix Suns,4,3
778,Toronto Raptors,Portland Trail Blazers,3,4
779,Toronto Raptors,Sacramento Kings,3,4
780,Toronto Raptors,San Antonio Spurs,0,7
781,Toronto Raptors,Utah Jazz,5,2
782,Toronto Raptors,Washington Wizards,11,2
783,Utah Jazz,Atlanta Hawks,2,4
784,Utah Jazz,Brooklyn Nets,5,2
785,Utah Jazz,Boston Celtics,2,5
786,Utah Jazz,Charlotte Hornets,3,4
787,Utah Jazz,Chicago Bulls,1,5
788,Utah Jazz,Cleveland Cavaliers,1,6
789,Utah Jazz,Dallas Mavericks,4,8
790,Utah Jazz,Denver Nuggets,4,9
791,Utah Jazz,Detroit Pistons,6,1
792,Utah Jazz,Golden State Warriors,3,9
793,Utah Jazz,Houston Rockets,3,10
794,Utah Jazz,Indiana Pacers,2,5
795,Utah Jazz,Los Angeles Clippers,3,9
796,Utah Jazz,Los Angeles Lakers,7,4
797,Utah Jazz,Memphis Grizzlies,6,6
798,Utah Jazz,Miami Heat,2,5
799,Utah Jazz,Milwaukee Bucks,3,4
800,Utah Jazz,Minnesota Timberwolves,10,4
801,Utah Jazz,New Orleans Pelicans,6,4
802,Utah Jazz,New York Knicks,2,4
803,Utah Jazz,Oklahoma City Thunder,0,13
804,Utah Jazz,Orlando Magic,5,2
805,Utah Jazz,Philadelphia 76ers,4,3
806,Utah Jazz,Phoenix Suns,6,5
807,Utah Jazz,Portland Trail Blazers,4,10
808,Utah Jazz,Sacramento Kings,9,4
809,Utah Jazz,San Antonio Spurs,2,10
810,Utah Jazz,Toronto Raptors,2,5
811,Utah Jazz,Washington Wizards,3,3
812,Washington Wizards,Atlanta Hawks,5,9
813,Washington Wizards,Brooklyn Nets,6,6
814,Washington Wizards,Boston Celtics,4,7
815,Washington Wizards,Charlotte Hornets,3,9
816,Washington Wizards,Chicago Bulls,6,6
817,Washington Wizards,Cleveland Cavaliers,5,8
818,Washington Wizards,Dallas Mavericks,1,6
819,Washington Wizards,Denver Nuggets,4,2
820,Washington Wizards,Detroit Pistons,4,9
821,Washington Wizards,Golden State Warriors,1,6
822,Washington Wizards,Houston Rockets,2,5
823,Washington Wizards,Indiana Pacers,4,8
824,Washington Wizards,Los Angeles Clippers,0,7
825,Washington Wizards,Los Angeles Lakers,5,1
826,Washington Wizards,Memphis Grizzlies,2,5
827,Washington Wizards,Miami Heat,4,10
828,Washington Wizards,Milwaukee Bucks,8,4
829,Washington Wizards,Minnesota Timberwolves,2,4
830,Washington Wizards,New Orleans Pelicans,4,2
831,Washington Wizards,New York Knicks,9,2
832,Washington Wizards,Oklahoma City Thunder,1,6
833,Washington Wizards,Orlando Magic,9,5
834,Washington Wizards,Philadelphia 76ers,5,8
835,Washington Wizards,Phoenix Suns,5,1
836,Washington Wizards,Portland Trail Blazers,4,3
837,Washington Wizards,Sacramento Kings,2,5
838,Washington Wizards,San Antonio Spurs,0,7
839,Washington Wizards,Toronto Raptors,4,9
840,Washington Wizards,Utah Jazz,1,5
