,TEAM,YEAR,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
0,Atlanta Hawks,2012,25,16,19,22,0.6097560975609756,0.4634146341463415
1,Atlanta Hawks,2013,24,17,14,27,0.5853658536585366,0.34146341463414637
2,Atlanta Hawks,2014,35,6,25,16,0.8536585365853658,0.6097560975609756
3,Atlanta Hawks,2015,27,14,21,20,0.6585365853658537,0.5121951219512195
4,Atlanta Hawks,2016,23,18,20,21,0.5609756097560976,0.4878048780487805
5,Atlanta Hawks,2017,16,25,8,33,0.3902439024390244,0.1951219512195122
6,Boston Celtics,2012,27,13,14,27,0.675,0.34146341463414637
7,Boston Celtics,2013,16,25,9,32,0.3902439024390244,0.21951219512195122
8,Boston Celtics,2014,21,20,19,22,0.5121951219512195,0.4634146341463415
9,Boston Celtics,2015,28,13,20,21,0.6829268292682927,0.4878048780487805
10,Boston Celtics,2016,30,11,23,18,0.7317073170731707,0.5609756097560976
11,Boston Celtics,2017,27,14,28,13,0.6585365853658537,0.6829268292682927
12,Brooklyn Nets,2012,26,15,23,18,0.6341463414634146,0.5609756097560976
13,Brooklyn Nets,2013,28,13,16,25,0.6829268292682927,0.3902439024390244
14,Brooklyn Nets,2014,19,22,19,22,0.4634146341463415,0.4634146341463415
15,Brooklyn Nets,2015,14,27,7,34,0.34146341463414637,0.17073170731707318
16,Brooklyn Nets,2016,13,28,7,34,0.3170731707317073,0.17073170731707318
17,Brooklyn Nets,2017,15,26,13,28,0.36585365853658536,0.3170731707317073
18,Charlotte Hornets,2014,19,22,14,27,0.4634146341463415,0.34146341463414637
19,Charlotte Hornets,2015,30,11,18,23,0.7317073170731707,0.43902439024390244
20,Charlotte Hornets,2016,22,19,14,27,0.5365853658536586,0.34146341463414637
21,Charlotte Hornets,2017,21,20,15,26,0.5121951219512195,0.36585365853658536
22,Chicago Bulls,2012,24,17,21,20,0.5853658536585366,0.5121951219512195
23,Chicago Bulls,2013,27,14,21,20,0.6585365853658537,0.5121951219512195
24,Chicago Bulls,2014,27,14,23,18,0.6585365853658537,0.5609756097560976
25,Chicago Bulls,2015,26,15,16,25,0.6341463414634146,0.3902439024390244
26,Chicago Bulls,2016,25,16,16,25,0.6097560975609756,0.3902439024390244
27,Chicago Bulls,2017,17,24,10,31,0.4146341463414634,0.24390243902439024
28,Cleveland Cavaliers,2012,14,27,10,31,0.34146341463414637,0.24390243902439024
29,Cleveland Cavaliers,2013,19,22,14,27,0.4634146341463415,0.34146341463414637
30,Cleveland Cavaliers,2014,31,10,22,19,0.7560975609756098,0.5365853658536586
31,Cleveland Cavaliers,2015,33,8,24,17,0.8048780487804879,0.5853658536585366
32,Cleveland Cavaliers,2016,31,10,20,21,0.7560975609756098,0.4878048780487805
33,Cleveland Cavaliers,2017,29,12,21,20,0.7073170731707317,0.5121951219512195
34,Dallas Mavericks,2012,24,17,17,24,0.5853658536585366,0.4146341463414634
35,Dallas Mavericks,2013,26,15,23,18,0.6341463414634146,0.5609756097560976
36,Dallas Mavericks,2014,27,14,23,18,0.6585365853658537,0.5609756097560976
37,Dallas Mavericks,2015,23,18,19,22,0.5609756097560976,0.4634146341463415
38,Dallas Mavericks,2016,21,20,12,29,0.5121951219512195,0.2926829268292683
39,Dallas Mavericks,2017,15,26,9,32,0.36585365853658536,0.21951219512195122
40,Denver Nuggets,2012,38,3,19,22,0.926829268292683,0.4634146341463415
41,Denver Nuggets,2013,22,19,14,27,0.5365853658536586,0.34146341463414637
42,Denver Nuggets,2014,19,22,11,30,0.4634146341463415,0.2682926829268293
43,Denver Nuggets,2015,18,23,15,26,0.43902439024390244,0.36585365853658536
44,Denver Nuggets,2016,22,19,18,23,0.5365853658536586,0.43902439024390244
45,Denver Nuggets,2017,31,10,15,26,0.7560975609756098,0.36585365853658536
46,Detroit Pistons,2012,18,23,11,30,0.43902439024390244,0.2682926829268293
47,Detroit Pistons,2013,17,24,12,29,0.4146341463414634,0.2926829268292683
48,Detroit Pistons,2014,18,23,14,27,0.43902439024390244,0.34146341463414637
49,Detroit Pistons,2015,26,15,18,23,0.6341463414634146,0.43902439024390244
50,Detroit Pistons,2016,24,17,13,28,0.5853658536585366,0.3170731707317073
51,Detroit Pistons,2017,25,16,14,27,0.6097560975609756,0.34146341463414637
52,Golden State Warriors,2012,28,13,19,22,0.6829268292682927,0.4634146341463415
53,Golden State Warriors,2013,27,14,24,17,0.6585365853658537,0.5853658536585366
54,Golden State Warriors,2014,39,2,28,13,0.9512195121951219,0.6829268292682927
55,Golden State Warriors,2015,39,2,34,7,0.9512195121951219,0.8292682926829268
56,Golden State Warriors,2016,36,5,31,10,0.8780487804878049,0.7560975609756098
57,Golden State Warriors,2017,29,12,29,12,0.7073170731707317,0.7073170731707317
58,Houston Rockets,2012,29,12,16,25,0.7073170731707317,0.3902439024390244
59,Houston Rockets,2013,33,8,21,20,0.8048780487804879,0.5121951219512195
60,Houston Rockets,2014,30,11,26,15,0.7317073170731707,0.6341463414634146
61,Houston Rockets,2015,23,18,18,23,0.5609756097560976,0.43902439024390244
62,Houston Rockets,2016,30,11,25,16,0.7317073170731707,0.6097560975609756
63,Houston Rockets,2017,34,7,31,10,0.8292682926829268,0.7560975609756098
64,Indiana Pacers,2012,30,11,19,21,0.7317073170731707,0.475
65,Indiana Pacers,2013,35,6,21,20,0.8536585365853658,0.5121951219512195
66,Indiana Pacers,2014,23,18,15,26,0.5609756097560976,0.36585365853658536
67,Indiana Pacers,2015,26,15,19,22,0.6341463414634146,0.4634146341463415
