TEAM NAME,ref,MATCHUP,LOCATION,WL,OPPONENT,ref2
New Orleans Saints, New Orleans Saints, New Orleans Saints vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
New York Jets, New York Jets, New York Jets @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
New York Jets, New York Jets, New York Jets vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Philadelphia Eagles, Philadelphia Eagles, Philadelphia Eagles @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Philadelphia Eagles, Philadelphia Eagles, Philadelphia Eagles @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Philadelphia Eagles, Philadelphia Eagles, Philadelphia Eagles vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Philadelphia Eagles, Philadelphia Eagles, Philadelphia Eagles vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Seattle Seahawks, Seattle Seahawks, Seattle Seahawks @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Seattle Seahawks, Seattle Seahawks, Seattle Seahawks @ Arizona Cardinals,Away,W,Arizona Cardinals, Arizona Cardinals
Seattle Seahawks, Seattle Seahawks, Seattle Seahawks @ Arizona Cardinals,Away,W,Arizona Cardinals, Arizona Cardinals
Seattle Seahawks, Seattle Seahawks, Seattle Seahawks @ Arizona Cardinals,Away,W,Arizona Cardinals, Arizona Cardinals
Seattle Seahawks, Seattle Seahawks, Seattle Seahawks vs. Arizona Cardinals,Home,L,Arizona Cardinals, Arizona Cardinals
Seattle Seahawks, Seattle Seahawks, Seattle Seahawks vs. Arizona Cardinals,Home,L,Arizona Cardinals, Arizona Cardinals
Seattle Seahawks, Seattle Seahawks, Seattle Seahawks vs. Arizona Cardinals,Home,L,Arizona Cardinals, Arizona Cardinals
Seattle Seahawks, Seattle Seahawks, Seattle Seahawks vs. Arizona Cardinals,Home,Tie,Arizona Cardinals, Arizona Cardinals
Seattle Seahawks, Seattle Seahawks, Seattle Seahawks vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
San Francisco 49ers, San Francisco 49ers, San Francisco 49ers @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
San Francisco 49ers, San Francisco 49ers, San Francisco 49ers @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
